domain,host,class,type,usage,selector,matching_type,certificate
06sex.nl,_443._tcp.06sex.nl,IN,TLSA,3,0,1,36b4222552a20d0b37bd0fab2c7b64272f9dc51e147f319a15ed7f64129acb79
0x1a8510f2.space,_443._tcp.0x1a8510f2.space,IN,TLSA,3,1,1,361ab39acc7d338b89090afbecfa51ca91a7a23c3ef1f204a2d20734942c6667
1-0-1.nl,_443._tcp.1-0-1.nl,IN,TLSA,3,0,1,858f0cdc03c3585908f60e36cba5a95801ffe4d77ff99d3a9418af65afef5fa0
112-ov.nl,_443._tcp.112-ov.nl,IN,TLSA,3,0,1,df6aa4f43aacff2c67c1606370a4aec55a4e966123844724095823afee16a8f8
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,1,440b302cd92b335801445210e7eddeaa83695bf6eca7d58b6d5c2d9bb104e990
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,1,9e4304c55e230e538e39a9c8404243bf9bd09aeb49582bf3c1749b022079f947
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,1,cb7a9b78ba2394fbf97ee04c45be0f89672d76e8632b72759f46d3572b7d7375
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,1,d884b50a89be6646dfa01440d339ba2a0029e1d667f93449cc386256f574cc7b
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,2,20ccae476cdc374cf96692a593909d1cefaf8bf20a7f929fe34912d8bcdc34a692af797f6dbf25fd456e839ec5835f54417e9ccbf3cf0e18c455e1e3e1333d07
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,2,8c05270053523307fd553c1ed1343b6b1b7225f2f2a21a1c64d16461639b2eec66b7af3cfc3fd9a5ac614104d70d60750733b759785a2ecbe606be8ef62af3a9
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,2,ad7af570e00065721e3f81601a0b2ecd073bed23dd4fdb29c9cba1772d4121d92d3fa4b81871eb5bdf8caccf0d93cd39ec96697a2acac1af13e464c5bf310cce
112app.nl,_443._tcp.112app.nl,IN,TLSA,1,1,2,c6bf5e8ea40945ee450d9e81bb32fdbf701e940bde922db2c79c1b24f3fd5e91560d9eb862d8aefc98721a072136bd2bd689e63e75d9c141acbe721ef88071a1
11dos.eu,_443._tcp.11dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
