domain,host,class,type,usage,selector,matching_type,certificate
0x1a8510f2.space,_443._tcp.0x1a8510f2.space,IN,TLSA,3,1,1,361ab39acc7d338b89090afbecfa51ca91a7a23c3ef1f204a2d20734942c6667
1-0-1.nl,_443._tcp.1-0-1.nl,IN,TLSA,3,0,1,882f51c61e857cfb4fdf6c1abd644ec7d5b4cbe53fa6f61cc78ab824dfc67f48
11dos.eu,_443._tcp.11dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
11dos.eu,_443._tcp.11dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
158.nl,_443._tcp.158.nl,IN,TLSA,3,0,1,2d1f463679e53dd2e06d6376fd9b6c9803cb21f0fb0d2f12c5ba2796c574fa7c
19hetatelier.nl,_443._tcp.19hetatelier.nl,IN,TLSA,3,0,2,5343b05aa17d284cd7624aa34d1a851bed64c3bbfa69476b90345bda00185368e36613dd4782280fa78f6d4075d095b093425322f1a00b71799be4e63f32d8f3
19hetatelier.nl,_443._tcp.19hetatelier.nl,IN,TLSA,3,0,2,a8b00ff2e36ecd27de39a42757a0c55015286dbbd2c52ef8516522f970e827603910b7ab25e21df06b137bcf28d8c1d9f66faefa2a6f7f68fc7157fbb805fb56
1dos.eu,_443._tcp.1dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
1dos.eu,_443._tcp.1dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
1fc0.de,_443._tcp.1fc0.de,IN,TLSA,3,1,1,034c51e8f73e11ae8f26c08c75074081db0cfde814aa29754ccc00700d903a4c
1fc0.de,_443._tcp.1fc0.de,IN,TLSA,3,1,1,2fb54be71afd452fa269559b38f25411c05fb721abd322d7fa13562d93065b09
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,1,2d91bafdbb6493effd152d26878358b86090aaeead8b7ad5b1781dae6b7e1742
